SEASON,TEAM,TEAM_CLEANED,PLAYER,NUMBER,AGE,POSITION,POSITION_TYPE,VALUE_EUR,PLAYER_LINK,NATIONALITY
2016,Penang FC,Penang FC,Brandon McDonald,4,29,Centre-Back,Defenders,300000.0,https://www.transfermarkt.com/brandon-mcdonald/profil/spieler/73121,Guam
2016,Penang FC,Penang FC,Reinaldo Lobo,-,27,Centre-Back,Defenders,150000.0,https://www.transfermarkt.com/reinaldo-lobo/profil/spieler/205017,Brazil
2016,Penang FC,Penang FC,Andy Russell,-,28,Centre-Back,Defenders,75000.0,https://www.transfermarkt.com/andy-russell/profil/spieler/339610,England
2016,Penang FC,Penang FC,Mafry Balang,2,31,Centre-Back,Defenders,351.0,https://www.transfermarkt.com/mafry-balang/profil/spieler/483617,Malaysia
2016,Penang FC,Penang FC,Darwira Sazan,3,27,Centre-Back,Defenders,352.0,https://www.transfermarkt.com/darwira-sazan/profil/spieler/483608,Malaysia
2016,Penang FC,Penang FC,Yong Kuong Yong,6,27,Centre-Back,Defenders,353.0,https://www.transfermarkt.com/yong-kuong-yong/profil/spieler/220516,Malaysia
2016,Penang FC,Penang FC,Zulkhairi Zulkeply,18,20,Centre-Back,Defenders,354.0,https://www.transfermarkt.com/zulkhairi-zulkeply/profil/spieler/484767,Malaysia
2016,Penang FC,Penang FC,K. Reuben,27,25,Centre-Back,Defenders,355.0,https://www.transfermarkt.com/k-reuben/profil/spieler/484769,Malaysia
2016,Penang FC,Penang FC,Khairul Akmal Rokisham,36,17,Centre-Back,Defenders,356.0,https://www.transfermarkt.com/khairul-akmal-rokisham/profil/spieler/512362,Malaysia
2016,Penang FC,Penang FC,Abdul Qayyum,26,20,Left-Back,Midfielders,357.0,https://www.transfermarkt.com/abdul-qayyum/profil/spieler/483606,Malaysia
2016,Penang FC,Penang FC,Asraruddin Putra Omar,-,27,Left-Back,Midfielders,358.0,https://www.transfermarkt.com/asraruddin-putra-omar/profil/spieler/190991,Malaysia
2016,Penang FC,Penang FC,Rafiuddin Roddin,20,26,Left-Back,Midfielders,359.0,https://www.transfermarkt.com/rafiuddin-roddin/profil/spieler/483609,Malaysia
2016,Penang FC,Penang FC,Mohammad Amirul Mohamad,28,18,Right-Back,Midfielders,360.0,https://www.transfermarkt.com/mohammad-amirul-mohamad/profil/spieler/483607,Malaysia
2016,Penang FC,Penang FC,Diogo Ferreira,-,26,Defensive Midfield,Midfielders,200000.0,https://www.transfermarkt.com/diogo-ferreira/profil/spieler/136894,Australia
2016,Penang FC,Penang FC,Elias Sulaiman,-,29,Midfielder,Midfielders,362.0,https://www.transfermarkt.com/elias-sulaiman/profil/spieler/483614,Malaysia
2016,Penang FC,Penang FC,Mohd Azrul Ahmad,-,30,Defensive Midfield,Midfielders,363.0,https://www.transfermarkt.com/mohd-azrul-ahmad/profil/spieler/483611,Malaysia
2016,Penang FC,Penang FC,Mohd Redzuan Suhaidi,19,20,Defensive Midfield,Midfielders,364.0,https://www.transfermarkt.com/mohd-redzuan-suhaidi/profil/spieler/407686,Malaysia
2016,Penang FC,Penang FC,G. Mahathevan,30,27,Defensive Midfield,Midfielders,365.0,https://www.transfermarkt.com/g-mahathevan/profil/spieler/489245,Malaysia
2016,Penang FC,Penang FC,Matías Córdoba,7,31,Central Midfield,Midfielders,400000.0,https://www.transfermarkt.com/matias-cordoba/profil/spieler/54644,Argentina
2016,Penang FC,Penang FC,Mark Hartmann,9,23,Central Midfield,Midfielders,25000.0,https://www.transfermarkt.com/mark-hartmann/profil/spieler/226818,England
2016,Penang FC,Penang FC,Azidan Sarudin,5,29,Central Midfield,Midfielders,368.0,https://www.transfermarkt.com/azidan-sarudin/profil/spieler/480256,Malaysia
2016,Penang FC,Penang FC,Syukur Saidin,8,24,Central Midfield,Midfielders,369.0,https://www.transfermarkt.com/syukur-saidin/profil/spieler/483605,Malaysia
2016,Penang FC,Penang FC,Syamer Kutty,14,18,Central Midfield,Forwards,370.0,https://www.transfermarkt.com/syamer-kutty/profil/spieler/483613,Malaysia
2016,Penang FC,Penang FC,Shazalee Ramlee,15,21,Central Midfield,Forwards,371.0,https://www.transfermarkt.com/shazalee-ramlee/profil/spieler/484768,Malaysia
2016,Penang FC,Penang FC,Nurfais Johari,37,16,Central Midfield,Forwards,372.0,https://www.transfermarkt.com/nurfais-johari/profil/spieler/540818,Malaysia
2016,Penang FC,Penang FC,Sanna Nyassi,15,26,Right Midfield,Forwards,250000.0,https://www.transfermarkt.com/sanna-nyassi/profil/spieler/91680,The Gambia
2016,Penang FC,Penang FC,Rashid Aya,-,25,Right Midfield,Forwards,374.0,https://www.transfermarkt.com/rashid-aya/profil/spieler/483610,Malaysia
2016,Penang FC,Penang FC,Mohd Faiz Subri,13,28,Attacking Midfield,Forwards,375.0,https://www.transfermarkt.com/mohd-faiz-subri/profil/spieler/228995,Malaysia
2016,Penang FC,Penang FC,Faizat Ghazli,17,21,Attacking Midfield,Forwards,376.0,https://www.transfermarkt.com/faizat-ghazli/profil/spieler/261295,Malaysia
2016,Penang FC,Penang FC,Thivandaran Karnan,35,16,Left Winger,Forwards,377.0,https://www.transfermarkt.com/thivandaran-karnan/profil/spieler/540819,Malaysia
2016,Penang FC,Penang FC,Nigel Dabinyaba,10,23,Right Winger,Forwards,378.0,https://www.transfermarkt.com/nigel-dabinyaba/profil/spieler/185196,Papua New Guinea
2016,Penang FC,Penang FC,S. Kumaahran,12,19,Right Winger,Goalkeeper,379.0,https://www.transfermarkt.com/s-kumaahran/profil/spieler/392751,Malaysia
2016,Penang FC,Penang FC,Thamil Arasu,-,24,Centre-Forward,Goalkeeper,380.0,https://www.transfermarkt.com/thamil-arasu/profil/spieler/215378,Malaysia
2016,Penang FC,Penang FC,Failee Ghazli,-,28,Centre-Forward,Goalkeeper,381.0,https://www.transfermarkt.com/failee-ghazli/profil/spieler/483612,Malaysia
2016,Penang FC,Penang FC,Jafri Firdaus Chew,-,18,Centre-Forward,Goalkeeper,382.0,https://www.transfermarkt.com/jafri-firdaus-chew/profil/spieler/484766,Malaysia
2016,Penang FC,Penang FC,R. Surendran,23,33,Striker,Goalkeeper,383.0,https://www.transfermarkt.com/r-surendran/profil/spieler/497286,Malaysia
2016,Perak FC,Perak FC,Yuvaraj Rajendran,-,19,Goalkeeper,Goalkeeper,384.0,https://www.transfermarkt.com/yuvaraj-rajendran/profil/spieler/483643,Malaysia
2016,Perak FC,Perak FC,Azizon Abdul Kadir,-,35,Goalkeeper,Goalkeeper,385.0,https://www.transfermarkt.com/azizon-abdul-kadir/profil/spieler/201471,Malaysia
2016,Perak FC,Perak FC,Syazani Puat,1,21,Goalkeeper,Goalkeeper,386.0,https://www.transfermarkt.com/syazani-puat/profil/spieler/483644,Malaysia
2016,Perak FC,Perak FC,Khairul Amri,18,26,Goalkeeper,Defenders,387.0,https://www.transfermarkt.com/khairul-amri/profil/spieler/480055,Malaysia
2016,Perak FC,Perak FC,Hafizul Hakim,22,22,Goalkeeper,Defenders,388.0,https://www.transfermarkt.com/hafizul-hakim/profil/spieler/273797,Malaysia
2016,Perak FC,Perak FC,Shafiq Hashim,-,20,Defender,Defenders,389.0,https://www.transfermarkt.com/shafiq-hashim/profil/spieler/483648,Malaysia
2016,Perak FC,Perak FC,Aidiel Shafiq,-,19,Defender,Defenders,390.0,https://www.transfermarkt.com/aidiel-shafiq/profil/spieler/483651,Malaysia
2016,Perak FC,Perak FC,Thiago Junio,26,31,Centre-Back,Defenders,50000.0,https://www.transfermarkt.com/thiago-junio/profil/spieler/59336,Brazil
2016,Perak FC,Perak FC,Raffi Nagoorgani,-,23,Centre-Back,Defenders,392.0,https://www.transfermarkt.com/raffi-nagoorgani/profil/spieler/483967,Malaysia
2016,Perak FC,Perak FC,Muhd Arif Ismail,2,29,Centre-Back,Defenders,393.0,https://www.transfermarkt.com/muhd-arif-ismail/profil/spieler/483650,Malaysia
2016,Perak FC,Perak FC,Shahrul Saad,3,22,Centre-Back,Defenders,394.0,https://www.transfermarkt.com/shahrul-saad/profil/spieler/210769,Malaysia
2016,Perak FC,Perak FC,Shahrom Abdul Kalam,5,30,Centre-Back,Defenders,395.0,https://www.transfermarkt.com/shahrom-abdul-kalam/profil/spieler/429562,Malaysia
2016,Perak FC,Perak FC,Shathiya Kandasamy,6,25,Centre-Back,Defenders,396.0,https://www.transfermarkt.com/shathiya-kandasamy/profil/spieler/503954,Malaysia
2016,Perak FC,Perak FC,Wan Syukri Wan Ahmad,13,24,Centre-Back,Defenders,397.0,https://www.transfermarkt.com/wan-syukri-wan-ahmad/profil/spieler/483968,Malaysia
2016,Perak FC,Perak FC,Idris Ahmad,15,25,Centre-Back,Midfielders,398.0,https://www.transfermarkt.com/idris-ahmad/profil/spieler/483391,Malaysia
2016,Perak FC,Perak FC,Nazirul Naim,21,22,Left-Back,Midfielders,399.0,https://www.transfermarkt.com/nazirul-naim/profil/spieler/215397,Malaysia
2016,Perak FC,Perak FC,Azrul Nizam,-,21,Left-Back,Midfielders,400.0,https://www.transfermarkt.com/azrul-nizam/profil/spieler/315724,Malaysia
2016,Perak FC,Perak FC,Amirul Azhan,23,22,Right-Back,Midfielders,401.0,https://www.transfermarkt.com/amirul-azhan/profil/spieler/483655,Malaysia
2016,Perak FC,Perak FC,Fikri Sudin,-,21,Midfielder,Midfielders,402.0,https://www.transfermarkt.com/fikri-sudin/profil/spieler/483658,Malaysia
2016,Perak FC,Perak FC,Kenny Pallraj,12,22,Defensive Midfield,Midfielders,403.0,https://www.transfermarkt.com/kenny-pallraj/profil/spieler/483646,Malaysia
2016,Perak FC,Perak FC,Jasazrin Jamaludin,19,29,Defensive Midfield,Midfielders,404.0,https://www.transfermarkt.com/jasazrin-jamaludin/profil/spieler/353620,Malaysia
2016,Perak FC,Perak FC,Mohd Hafiz Kamal,27,28,Midfielder,Midfielders,405.0,https://www.transfermarkt.com/mohd-hafiz-kamal/profil/spieler/315546,Malaysia
2016,Perak FC,Perak FC,Firdaus Saiyadi,-,19,Central Midfield,Midfielders,406.0,https://www.transfermarkt.com/firdaus-saiyadi/profil/spieler/483657,Malaysia
2016,Perak FC,Perak FC,Hafiz Ramdan,-,22,Central Midfield,Midfielders,407.0,https://www.transfermarkt.com/hafiz-ramdan/profil/spieler/483661,Malaysia
2016,Perak FC,Perak FC,Nasir Basharudin,4,25,Central Midfield,Midfielders,408.0,https://www.transfermarkt.com/nasir-basharudin/profil/spieler/377356,Malaysia
2016,Perak FC,Perak FC,Ridzuan Azly Hussham,-,23,Right Midfield,Midfielders,409.0,https://www.transfermarkt.com/ridzuan-azly-hussham/profil/spieler/483654,Malaysia
2016,Perak FC,Perak FC,Ibrahim Aziz,16,22,Right Midfield,Midfielders,410.0,https://www.transfermarkt.com/ibrahim-aziz/profil/spieler/483969,Malaysia
2016,Perak FC,Perak FC,Faton Toski,-,28,Attacking Midfield,Forwards,250000.0,https://www.transfermarkt.com/faton-toski/profil/spieler/39392,Kosovo
2016,Perak FC,Perak FC,Akhir Bahari,-,21,Attacking Midfield,Forwards,412.0,https://www.transfermarkt.com/akhir-bahari/profil/spieler/210751,Malaysia
2016,Perak FC,Perak FC,Leandro dos Santos,25,29,Attacking Midfield,Forwards,413.0,https://www.transfermarkt.com/leandro-dos-santos/profil/spieler/281731,Brazil
2016,Perak FC,Perak FC,Amirul Waie Yaacob,-,19,Left Winger,Forwards,414.0,https://www.transfermarkt.com/amirul-waie-yaacob/profil/spieler/483660,Malaysia
2016,Perak FC,Perak FC,Nazrin Nawi,20,27,Left Winger,Forwards,415.0,https://www.transfermarkt.com/nazrin-nawi/profil/spieler/299358,Malaysia
2016,Perak FC,Perak FC,Amir Safuan Zubir,-,18,Right Winger,Forwards,416.0,https://www.transfermarkt.com/amir-safuan-zubir/profil/spieler/483656,Malaysia
2016,Perak FC,Perak FC,Khairil Anuar,7,20,Right Winger,Forwards,417.0,https://www.transfermarkt.com/khairil-anuar/profil/spieler/483653,Malaysia
2016,Perak FC,Perak FC,Yashir Islame,-,24,Second Striker,Forwards,418.0,https://www.transfermarkt.com/yashir-islame/profil/spieler/89756,Chile
2016,Perak FC,Perak FC,Vladislav Mirchev,-,28,Centre-Forward,Forwards,200000.0,https://www.transfermarkt.com/vladislav-mirchev/profil/spieler/87069,Bulgaria
2016,Perak FC,Perak FC,Zaquan Adha,8,28,Centre-Forward,Goalkeeper,420.0,https://www.transfermarkt.com/zaquan-adha/profil/spieler/68491,Malaysia
2016,Perak FC,Perak FC,Abdul Hadi Yahya,14,30,Centre-Forward,Goalkeeper,421.0,https://www.transfermarkt.com/abdul-hadi-yahya/profil/spieler/190996,Malaysia
2016,Perak FC,Perak FC,Mohd Nizad Ayub,30,27,Centre-Forward,Goalkeeper,422.0,https://www.transfermarkt.com/mohd-nizad-ayub/profil/spieler/300831,Malaysia
2016,Perak FC,Perak FC,Gilmar,51,27,Centre-Forward,Goalkeeper,423.0,https://www.transfermarkt.com/gilmar/profil/spieler/367695,Brazil
2016,Sarawak FA,Sarawak FA,Florian Rison,1,20,Goalkeeper,Goalkeeper,424.0,https://www.transfermarkt.com/florian-rison/profil/spieler/483903,Malaysia
2016,Sarawak FA,Sarawak FA,Zul Mohi,18,25,Goalkeeper,Goalkeeper,425.0,https://www.transfermarkt.com/zul-mohi/profil/spieler/541051,Malaysia
2016,Sarawak FA,Sarawak FA,Aidil Mohamad,21,35,Goalkeeper,Goalkeeper,426.0,https://www.transfermarkt.com/aidil-mohamad/profil/spieler/483983,Malaysia
2016,Sarawak FA,Sarawak FA,Shahril Sa'ari,25,25,Goalkeeper,Defenders,427.0,https://www.transfermarkt.com/shahril-saari/profil/spieler/213767,Malaysia
2016,Sarawak FA,Sarawak FA,Najmuddin Mat Noor,14,20,Defender,Defenders,428.0,https://www.transfermarkt.com/najmuddin-mat-noor/profil/spieler/547128,Malaysia
2016,Sarawak FA,Sarawak FA,Demerson,-,29,Centre-Back,Defenders,200000.0,https://www.transfermarkt.com/demerson/profil/spieler/112609,Brazil
2016,Sarawak FA,Sarawak FA,Mohd Dzulfadli,24,24,Centre-Back,Defenders,430.0,https://www.transfermarkt.com/mohd-dzulfadli/profil/spieler/483908,Malaysia
2016,Sarawak FA,Sarawak FA,Ronny Harun,2,31,Centre-Back,Defenders,431.0,https://www.transfermarkt.com/ronny-harun/profil/spieler/407687,Malaysia
2016,Sarawak FA,Sarawak FA,Hairol Mokhtar,17,31,Centre-Back,Defenders,432.0,https://www.transfermarkt.com/hairol-mokhtar/profil/spieler/289105,Malaysia
2016,Sarawak FA,Sarawak FA,Rodney Celvin,35,19,Centre-Back,Defenders,433.0,https://www.transfermarkt.com/rodney-celvin/profil/spieler/483907,Malaysia
2016,Sarawak FA,Sarawak FA,Tommy Mawat,-,20,Left-Back,Defenders,434.0,https://www.transfermarkt.com/tommy-mawat/profil/spieler/483897,Malaysia
2016,Sarawak FA,Sarawak FA,Izray Iffarul Roslan,6,23,Left-Back,Defenders,435.0,https://www.transfermarkt.com/izray-iffarul-roslan/profil/spieler/483982,Malaysia
2016,Sarawak FA,Sarawak FA,Ramesh,12,35,Left-Back,Defenders,436.0,https://www.transfermarkt.com/ramesh/profil/spieler/483906,Malaysia
2016,Sarawak FA,Sarawak FA,Dzulazlan Ibrahim,13,27,Right-Back,Defenders,437.0,https://www.transfermarkt.com/dzulazlan-ibrahim/profil/spieler/483909,Malaysia
2016,Sarawak FA,Sarawak FA,Mazwandi,22,26,Right-Back,Midfielders,438.0,https://www.transfermarkt.com/mazwandi/profil/spieler/483911,Malaysia
2016,Sarawak FA,Sarawak FA,Jimmy Raymond,32,19,Right-Back,Midfielders,439.0,https://www.transfermarkt.com/jimmy-raymond/profil/spieler/524884,Malaysia
2016,Sarawak FA,Sarawak FA,Milos Raickovic,52,22,Central Midfield,Midfielders,200000.0,https://www.transfermarkt.com/milos-raickovic/profil/spieler/226952,Montenegro
2016,Sarawak FA,Sarawak FA,Mark Hartmann,-,23,Central Midfield,Midfielders,25000.0,https://www.transfermarkt.com/mark-hartmann/profil/spieler/226818,England
2016,Sarawak FA,Sarawak FA,Adam Shreen,-,22,Central Midfield,Midfielders,442.0,https://www.transfermarkt.com/adam-shreen/profil/spieler/259998,Malaysia
2016,Sarawak FA,Sarawak FA,Mohammad Shahrol,16,31,Central Midfield,Midfielders,443.0,https://www.transfermarkt.com/mohammad-shahrol/profil/spieler/483895,Malaysia
2016,Sarawak FA,Sarawak FA,Alif Hassan,26,21,Central Midfield,Midfielders,444.0,https://www.transfermarkt.com/alif-hassan/profil/spieler/483894,Malaysia
2016,Sarawak FA,Sarawak FA,A. Kamaruddin,28,20,Central Midfield,Midfielders,445.0,https://www.transfermarkt.com/a-kamaruddin/profil/spieler/483981,Malaysia
2016,Sarawak FA,Sarawak FA,Hafis Saperi,27,21,Attacking Midfield,Midfielders,446.0,https://www.transfermarkt.com/hafis-saperi/profil/spieler/273143,Malaysia
2016,Sarawak FA,Sarawak FA,Abdul Rahim,30,20,Attacking Midfield,Midfielders,447.0,https://www.transfermarkt.com/abdul-rahim/profil/spieler/483899,Malaysia
2016,Sarawak FA,Sarawak FA,Sahil Suhaimi,51,23,Attacking Midfield,Midfielders,448.0,https://www.transfermarkt.com/sahil-suhaimi/profil/spieler/230295,Singapore
2016,Sarawak FA,Sarawak FA,Hafiz,11,27,Left Winger,Midfielders,449.0,https://www.transfermarkt.com/hafiz/profil/spieler/486194,Malaysia
2016,Sarawak FA,Sarawak FA,Shamie Iszuan,-,20,Right Winger,Midfielders,450.0,https://www.transfermarkt.com/shamie-iszuan/profil/spieler/483900,Malaysia
2016,Sarawak FA,Sarawak FA,Dalglish,23,24,Right Winger,Forwards,451.0,https://www.transfermarkt.com/dalglish/profil/spieler/483896,Malaysia
2016,Sarawak FA,Sarawak FA,Mateo Roskam,9,28,Centre-Forward,Forwards,100000.0,https://www.transfermarkt.com/mateo-roskam/profil/spieler/46790,Croatia
2016,Sarawak FA,Sarawak FA,Alexander Jerome,29,22,Striker,Forwards,453.0,https://www.transfermarkt.com/alexander-jerome/profil/spieler/547129,Malaysia
2016,Sarawak FA,Sarawak FA,Abang Nur Afirman,36,17,Striker,Forwards,454.0,https://www.transfermarkt.com/abang-nur-afirman/profil/spieler/483898,Malaysia
2016,Sarawak FA,Sarawak FA,Jong-ho Lee,-,29,Centre-Forward,Forwards,455.0,https://www.transfermarkt.com/jong-ho-lee/profil/spieler/483376,"Korea, South"
2016,Sarawak FA,Sarawak FA,Nor Azizi Ramlee,34,19,Centre-Forward,Forwards,456.0,https://www.transfermarkt.com/nor-azizi-ramlee/profil/spieler/527835,Malaysia
2017,Johor Darul Ta'zim,Johor Darul Ta'zim FC,Farizal Marlias,1,30,Goalkeeper,Goalkeeper,457.0,https://www.transfermarkt.com/farizal-marlias/profil/spieler/228915,Malaysia
2017,Johor Darul Ta'zim,Johor Darul Ta'zim FC,Izham Tarmizi,24,25,Goalkeeper,Goalkeeper,458.0,https://www.transfermarkt.com/izham-tarmizi/profil/spieler/215370,Malaysia
2017,Johor Darul Ta'zim,Johor Darul Ta'zim FC,Haziq Nadzli,26,18,Goalkeeper,Goalkeeper,459.0,https://www.transfermarkt.com/haziq-nadzli/profil/spieler/480240,Malaysia
2017,Johor Darul Ta'zim,Johor Darul Ta'zim FC,Maurício,-,28,Centre-Back,Defenders,2000000.0,https://www.transfermarkt.com/mauricio/profil/spieler/67864,Brazil
2017,Johor Darul Ta'zim,Johor Darul Ta'zim FC,Bruno Soares,-,28,Centre-Back,Defenders,700000.0,https://www.transfermarkt.com/bruno-soares/profil/spieler/104545,Brazil
2017,Johor Darul Ta'zim,Johor Darul Ta'zim FC,Marcos António,-,33,Centre-Back,Defenders,400000.0,https://www.transfermarkt.com/marcos-antonio/profil/spieler/14334,Brazil
2017,Johor Darul Ta'zim,Johor Darul Ta'zim FC,Kiko Insa,23,28,Centre-Back,Defenders,100000.0,https://www.transfermarkt.com/kiko-insa/profil/spieler/83879,Malaysia
2017,Johor Darul Ta'zim,Johor Darul Ta'zim FC,Junior Eldstal,-,25,Centre-Back,Defenders,464.0,https://www.transfermarkt.com/junior-eldstal/profil/spieler/315803,Malaysia
2017,Johor Darul Ta'zim,Johor Darul Ta'zim FC,Dominic Tan,-,19,Centre-Back,Defenders,465.0,https://www.transfermarkt.com/dominic-tan/profil/spieler/480242,Malaysia
2017,Johor Darul Ta'zim,Johor Darul Ta'zim FC,Adam Nor Azlin,3,20,Centre-Back,Defenders,466.0,https://www.transfermarkt.com/adam-nor-azlin/profil/spieler/483683,Malaysia
2017,Johor Darul Ta'zim,Johor Darul Ta'zim FC,Aidil Zafuan,7,29,Centre-Back,Defenders,467.0,https://www.transfermarkt.com/aidil-zafuan/profil/spieler/68490,Malaysia
2017,Johor Darul Ta'zim,Johor Darul Ta'zim FC,Fadhli Shas,27,25,Centre-Back,Defenders,468.0,https://www.transfermarkt.com/fadhli-shas/profil/spieler/215328,Malaysia
2017,Johor Darul Ta'zim,Johor Darul Ta'zim FC,La'Vere Corbin-Ong,22,25,Left-Back,Defenders,225000.0,https://www.transfermarkt.com/lavere-corbin-ong/profil/spieler/231425,England
2017,Johor Darul Ta'zim,Johor Darul Ta'zim FC,Fazly Mazlan,-,23,Left-Back,Defenders,470.0,https://www.transfermarkt.com/fazly-mazlan/profil/spieler/407683,Malaysia
2017,Johor Darul Ta'zim,Johor Darul Ta'zim FC,S. Kunanlan,12,30,Right-Back,Midfielders,471.0,https://www.transfermarkt.com/s-kunanlan/profil/spieler/191002,Malaysia
2017,Johor Darul Ta'zim,Johor Darul Ta'zim FC,Azrif Nasrulhaq,20,25,Right-Back,Midfielders,472.0,https://www.transfermarkt.com/azrif-nasrulhaq/profil/spieler/440494,Malaysia
2017,Johor Darul Ta'zim,Johor Darul Ta'zim FC,Hariss Harun,14,26,Defensive Midfield,Midfielders,473.0,https://www.transfermarkt.com/hariss-harun/profil/spieler/68636,Singapore
2017,Johor Darul Ta'zim,Johor Darul Ta'zim FC,Afiq Fazail,4,22,Defensive Midfield,Midfielders,474.0,https://www.transfermarkt.com/afiq-fazail/profil/spieler/315723,Malaysia
2017,Johor Darul Ta'zim,Johor Darul Ta'zim FC,Gary Steven,13,24,Defensive Midfield,Midfielders,475.0,https://www.transfermarkt.com/gary-steven/profil/spieler/215399,Malaysia
2017,Johor Darul Ta'zim,Johor Darul Ta'zim FC,Natxo Insa,30,30,Central Midfield,Midfielders,700000.0,https://www.transfermarkt.com/natxo-insa/profil/spieler/57808,Spain
2017,Johor Darul Ta'zim,Johor Darul Ta'zim FC,Nazmi Faiz,21,22,Central Midfield,Midfielders,50000.0,https://www.transfermarkt.com/nazmi-faiz/profil/spieler/210753,Malaysia
2017,Johor Darul Ta'zim,Johor Darul Ta'zim FC,Amirul Hadi Zainal,5,30,Central Midfield,Midfielders,478.0,https://www.transfermarkt.com/amirul-hadi-zainal/profil/spieler/69315,Malaysia
2017,Johor Darul Ta'zim,Johor Darul Ta'zim FC,Safiq Rahim,8,29,Central Midfield,Midfielders,479.0,https://www.transfermarkt.com/safiq-rahim/profil/spieler/69307,Malaysia
2017,Johor Darul Ta'zim,Johor Darul Ta'zim FC,Syamer Kutty,16,19,Central Midfield,Midfielders,480.0,https://www.transfermarkt.com/syamer-kutty/profil/spieler/483613,Malaysia
2017,Johor Darul Ta'zim,Johor Darul Ta'zim FC,Fernando Elizari,-,25,Attacking Midfield,Midfielders,700000.0,https://www.transfermarkt.com/fernando-elizari/profil/spieler/223024,Argentina
2017,Johor Darul Ta'zim,Johor Darul Ta'zim FC,Nico Fernández,-,30,Attacking Midfield,Midfielders,500000.0,https://www.transfermarkt.com/nico-fernandez/profil/spieler/287240,Argentina
2017,Johor Darul Ta'zim,Johor Darul Ta'zim FC,Harry Novillo,-,24,Left Winger,Midfielders,900000.0,https://www.transfermarkt.com/harry-novillo/profil/spieler/118294,France
2017,Johor Darul Ta'zim,Johor Darul Ta'zim FC,Gonzalo Cabrera,-,27,Left Winger,Forwards,750000.0,https://www.transfermarkt.com/gonzalo-cabrera/profil/spieler/136867,Argentina
2017,Johor Darul Ta'zim,Johor Darul Ta'zim FC,Aarón Ñíguez,-,27,Right Winger,Forwards,500000.0,https://www.transfermarkt.com/aaron-niguez/profil/spieler/57943,Spain
2017,Johor Darul Ta'zim,Johor Darul Ta'zim FC,Safawi Rasid,29,19,Right Winger,Forwards,486.0,https://www.transfermarkt.com/safawi-rasid/profil/spieler/474220,Malaysia
2017,Johor Darul Ta'zim,Johor Darul Ta'zim FC,Mahali Jasuli,-,27,Second Striker,Forwards,487.0,https://www.transfermarkt.com/mahali-jasuli/profil/spieler/190998,Malaysia
2017,Johor Darul Ta'zim,Johor Darul Ta'zim FC,Fernando Márquez,-,29,Centre-Forward,Forwards,900000.0,https://www.transfermarkt.com/fernando-marquez/profil/spieler/75597,Argentina
2017,Johor Darul Ta'zim,Johor Darul Ta'zim FC,Jorge Pereyra Díaz,11,26,Centre-Forward,Forwards,500000.0,https://www.transfermarkt.com/jorge-pereyra-diaz/profil/spieler/129660,Argentina
2017,Johor Darul Ta'zim,Johor Darul Ta'zim FC,Jou Silva,-,29,Centre-Forward,Forwards,350000.0,https://www.transfermarkt.com/jou-silva/profil/spieler/206681,Brazil
2017,Johor Darul Ta'zim,Johor Darul Ta'zim FC,Luciano Figueroa,19,35,Centre-Forward,Forwards,491.0,https://www.transfermarkt.com/luciano-figueroa/profil/spieler/7133,Argentina
2017,Johor Darul Ta'zim,Johor Darul Ta'zim FC,Hazwan Bakri,9,25,Centre-Forward,Forwards,492.0,https://www.transfermarkt.com/hazwan-bakri/profil/spieler/213951,Malaysia
2017,Johor Darul Ta'zim,Johor Darul Ta'zim FC,Darren Lok,17,26,Centre-Forward,Goalkeeper,493.0,https://www.transfermarkt.com/darren-lok/profil/spieler/295234,England
2017,Johor Darul Ta'zim,Johor Darul Ta'zim FC,Syafiq Ahmad,28,21,Centre-Forward,Goalkeeper,494.0,https://www.transfermarkt.com/syafiq-ahmad/profil/spieler/483398,Malaysia
2017,Kedah Darul Aman FC,Kedah Darul Aman FC,Farhan Abu Bakar,-,23,Goalkeeper,Goalkeeper,495.0,https://www.transfermarkt.com/farhan-abu-bakar/profil/spieler/210746,Malaysia
2017,Kedah Darul Aman FC,Kedah Darul Aman FC,Abdul Hadi Abdul Hamid,1,29,Goalkeeper,Goalkeeper,496.0,https://www.transfermarkt.com/abdul-hadi-abdul-hamid/profil/spieler/224343,Malaysia
2017,Kedah Darul Aman FC,Kedah Darul Aman FC,Asri Muhamad,21,18,Goalkeeper,Goalkeeper,497.0,https://www.transfermarkt.com/asri-muhamad/profil/spieler/524947,Malaysia
2017,Kedah Darul Aman FC,Kedah Darul Aman FC,Ifwat Akmal,25,20,Goalkeeper,Defenders,498.0,https://www.transfermarkt.com/ifwat-akmal/profil/spieler/483400,Malaysia
2017,Kedah Darul Aman FC,Kedah Darul Aman FC,Ramadhan Hamid,30,22,Goalkeeper,Defenders,499.0,https://www.transfermarkt.com/ramadhan-hamid/profil/spieler/259935,Malaysia
2017,Kedah Darul Aman FC,Kedah Darul Aman FC,Álvaro Silva,4,32,Centre-Back,Defenders,800000.0,https://www.transfermarkt.com/alvaro-silva/profil/spieler/29072,Philippines
2017,Kedah Darul Aman FC,Kedah Darul Aman FC,Syawal Nordin,2,23,Centre-Back,Defenders,501.0,https://www.transfermarkt.com/syawal-nordin/profil/spieler/210765,Malaysia
2017,Kedah Darul Aman FC,Kedah Darul Aman FC,Khairul Helmi,13,28,Centre-Back,Defenders,502.0,https://www.transfermarkt.com/khairul-helmi/profil/spieler/474569,Malaysia
