SEASON,TEAM,TEAM_CLEANED,PLAYER,NUMBER,AGE,POSITION,POSITION_TYPE,VALUE_EUR,PLAYER_LINK,NATIONALITY
2016,Johor Darul Ta'zim,Johor Darul Ta'zim FC,Mohamad Ghaddar,22,31,Centre-Forward,Forwards,31.0,https://www.transfermarkt.com/mohamad-ghaddar/profil/spieler/37028,Lebanon
2016,Johor Darul Ta'zim,Johor Darul Ta'zim FC,Hadi Fayyadh,-,15,Centre-Forward,Forwards,32.0,https://www.transfermarkt.com/hadi-fayyadh/profil/spieler/491486,Malaysia
2016,Johor Darul Ta'zim,Johor Darul Ta'zim FC,Hazwan Bakri,9,24,Centre-Forward,Forwards,33.0,https://www.transfermarkt.com/hazwan-bakri/profil/spieler/213951,Malaysia
2016,Johor Darul Ta'zim,Johor Darul Ta'zim FC,Gopi Rizqi,17,26,Striker,Forwards,34.0,https://www.transfermarkt.com/gopi-rizqi/profil/spieler/264246,Malaysia
2016,Johor Darul Ta'zim,Johor Darul Ta'zim FC,Darren Lok,28,25,Centre-Forward,Forwards,35.0,https://www.transfermarkt.com/darren-lok/profil/spieler/295234,England
2016,Melaka United FC,Melaka United FC,Zamir Selamat,-,26,Goalkeeper,Goalkeeper,36.0,https://www.transfermarkt.com/zamir-selamat/profil/spieler/392742,Malaysia
2016,Melaka United FC,Melaka United FC,Faridzuean Kamaruddin,-,20,Goalkeeper,Goalkeeper,37.0,https://www.transfermarkt.com/faridzuean-kamaruddin/profil/spieler/486719,Malaysia
2016,Melaka United FC,Melaka United FC,Mohd Fazli Paat,1,28,Goalkeeper,Goalkeeper,38.0,https://www.transfermarkt.com/mohd-fazli-paat/profil/spieler/484764,Malaysia
2016,Melaka United FC,Melaka United FC,Badrulzaman Abdul Halim,20,37,Goalkeeper,Defenders,39.0,https://www.transfermarkt.com/badrulzaman-abdul-halim/profil/spieler/483618,Malaysia
2016,Melaka United FC,Melaka United FC,Firdaus Muhammad,29,21,Goalkeeper,Defenders,40.0,https://www.transfermarkt.com/firdaus-muhammad/profil/spieler/227211,Malaysia
2016,Melaka United FC,Melaka United FC,Norhadi,30,28,Goalkeeper,Defenders,41.0,https://www.transfermarkt.com/norhadi/profil/spieler/492694,Malaysia
2016,Melaka United FC,Melaka United FC,Steven Thicot,-,28,Centre-Back,Defenders,700000.0,https://www.transfermarkt.com/steven-thicot/profil/spieler/18945,France
2016,Melaka United FC,Melaka United FC,Godwin Antwi,-,27,Centre-Back,Defenders,200000.0,https://www.transfermarkt.com/godwin-antwi/profil/spieler/33821,Ghana
2016,Melaka United FC,Melaka United FC,Jasmin Mecinovic,25,25,Centre-Back,Defenders,150000.0,https://www.transfermarkt.com/jasmin-mecinovic/profil/spieler/170894,Jugoslawien (SFR)
2016,Melaka United FC,Melaka United FC,Faiz Suhaimi,-,23,Centre-Back,Defenders,45.0,https://www.transfermarkt.com/faiz-suhaimi/profil/spieler/301391,Malaysia
2016,Melaka United FC,Melaka United FC,Nicholas Swirad,-,24,Centre-Back,Defenders,46.0,https://www.transfermarkt.com/nicholas-swirad/profil/spieler/519253,England
2016,Melaka United FC,Melaka United FC,Alif Samsudin,-,26,Centre-Back,Defenders,47.0,https://www.transfermarkt.com/alif-samsudin/profil/spieler/545273,Malaysia
2016,Melaka United FC,Melaka United FC,Faizal Muhamad,3,26,Centre-Back,Defenders,48.0,https://www.transfermarkt.com/faizal-muhamad/profil/spieler/228902,Malaysia
2016,Melaka United FC,Melaka United FC,Khuzaimi Piee,12,22,Centre-Back,Defenders,49.0,https://www.transfermarkt.com/khuzaimi-piee/profil/spieler/484834,Malaysia
2016,Melaka United FC,Melaka United FC,Akmal Zahir,15,21,Centre-Back,Midfielders,50.0,https://www.transfermarkt.com/akmal-zahir/profil/spieler/510678,Malaysia
2016,Melaka United FC,Melaka United FC,Syawal Norsam,18,26,Centre-Back,Midfielders,51.0,https://www.transfermarkt.com/syawal-norsam/profil/spieler/483500,Malaysia
2016,Melaka United FC,Melaka United FC,Khair Jones,26,26,Left-Back,Midfielders,25000.0,https://www.transfermarkt.com/khair-jones/profil/spieler/167519,Malaysia
2016,Melaka United FC,Melaka United FC,Fandi Othman,-,23,Left-Back,Midfielders,53.0,https://www.transfermarkt.com/fandi-othman/profil/spieler/215398,Malaysia
2016,Melaka United FC,Melaka United FC,Isma Alif Mohd Salim,16,28,Left-Back,Midfielders,54.0,https://www.transfermarkt.com/isma-alif-mohd-salim/profil/spieler/487866,Malaysia
2016,Melaka United FC,Melaka United FC,S. Chanthuru Suppiah,-,28,Right-Back,Midfielders,55.0,https://www.transfermarkt.com/s-chanthuru-suppiah/profil/spieler/191003,Malaysia
2016,Melaka United FC,Melaka United FC,Azmi Muslim,-,29,Right-Back,Midfielders,56.0,https://www.transfermarkt.com/azmi-muslim/profil/spieler/210512,Malaysia
2016,Melaka United FC,Melaka United FC,Puaneswaran,27,32,Right-Back,Midfielders,57.0,https://www.transfermarkt.com/puaneswaran/profil/spieler/484835,Malaysia
2016,Melaka United FC,Melaka United FC,Nazri Ahmad,28,25,Right-Back,Midfielders,58.0,https://www.transfermarkt.com/nazri-ahmad/profil/spieler/301376,Malaysia
2016,Melaka United FC,Melaka United FC,Uh-yeong Jeon,19,28,Defensive Midfield,Midfielders,250000.0,https://www.transfermarkt.com/uh-yeong-jeon/profil/spieler/180557,"Korea, South"
