Team,Player,Number,Age,Position,Group Position,Nationality,ValueEUR
Terengganu FC II,Fakhrurazi Musa,25,24,Attacking Midfield,Midfielders,Malaysia,295.0
Terengganu FC II,Mohd Asrol Ibrahim,56,29,Attacking Midfield,Midfielders,Malaysia,296.0
Terengganu FC II,Nor Hakim Hassan,11,24,Left Winger,Midfielders,Malaysia,297.0
Terengganu FC II,Zarulizwan Mazlan,33,18,Left Winger,Midfielders,Malaysia,298.0
Terengganu FC II,Dilshod Sharofetdinov,30,30,Right Winger,Midfielders,Uzbekistan,175000.0
Terengganu FC II,Fauzi Kadar,-,23,Right Winger,Midfielders,Malaysia,300.0
Terengganu FC II,Azrean Abd Aziz,9,20,Right Winger,Midfielders,Malaysia,301.0
Terengganu FC II,Ooi Shee Keong,53,24,Right Winger,Midfielders,Malaysia,302.0
Terengganu FC II,Yannick N'Djeng,55,25,Centre-Forward,Forwards,Cameroon,800000.0
Terengganu FC II,Mamadou Samassa,10,29,Centre-Forward,Forwards,Mali,400000.0
Terengganu FC II,Farkhod Tadzhiev,-,29,Centre-Forward,Forwards,Uzbekistan,300000.0
Terengganu FC II,Zulhanizam,-,21,Centre-Forward,Forwards,Malaysia,306.0
Terengganu FC II,Ramzul Zahini,22,28,Centre-Forward,Forwards,Malaysia,307.0
Penang FC,Syed Adney,1,29,Goalkeeper,Goalkeeper,Malaysia,308.0
Penang FC,Hazrull Hafiz,-,18,Goalkeeper,Goalkeeper,Malaysia,309.0
Penang FC,Sani Anuar Kamsani,22,32,Goalkeeper,Goalkeeper,Malaysia,310.0
Penang FC,Amirul Asyraf,25,21,Goalkeeper,Goalkeeper,Malaysia,311.0
Penang FC,Adam Zairi bin Fitri Zaini,40,17,Goalkeeper,Goalkeeper,Malaysia,312.0
Penang FC,Brandon McDonald,4,29,Centre-Back,Defenders,Guam,300000.0
Penang FC,Reinaldo Lobo,-,27,Centre-Back,Defenders,Brazil,150000.0
Penang FC,Andy Russell,-,28,Centre-Back,Defenders,Hongkong,75000.0
Penang FC,Mafry Balang,2,31,Centre-Back,Defenders,Malaysia,316.0
Penang FC,Darwira Sazan,3,27,Centre-Back,Defenders,Malaysia,317.0
Penang FC,Yong Kuong Yong,6,27,Centre-Back,Defenders,Malaysia,318.0
Penang FC,Zulkhairi Zulkeply,18,20,Centre-Back,Defenders,Malaysia,319.0
Penang FC,K. Reuben,27,25,Centre-Back,Defenders,Malaysia,320.0
Penang FC,Khairul Akmal Rokisham,36,17,Centre-Back,Defenders,Malaysia,321.0
Penang FC,Asraruddin Putra Omar,-,27,Left-Back,Defenders,Malaysia,322.0
Penang FC,Rafiuddin Roddin,20,26,Left-Back,Defenders,Malaysia,323.0
Penang FC,Abdul Qayyum,26,20,Left-Back,Defenders,Malaysia,324.0
Penang FC,Mohammad Amirul Mohamad,28,18,Right-Back,Defenders,Malaysia,325.0
Penang FC,Diogo Ferreira,-,26,Defensive Midfield,Midfielders,Australia,200000.0
Penang FC,Mohd Azrul Ahmad,-,30,Defensive Midfield,Midfielders,Malaysia,327.0
Penang FC,Elias Sulaiman,-,29,Midfielder,Midfielders,Malaysia,328.0
Penang FC,Mohd Redzuan Suhaidi,19,20,Defensive Midfield,Midfielders,Malaysia,329.0
Penang FC,G. Mahathevan,30,27,Defensive Midfield,Midfielders,Malaysia,330.0
Penang FC,Matías Córdoba,7,31,Central Midfield,Midfielders,Argentina,400000.0
Penang FC,Azidan Sarudin,5,29,Central Midfield,Midfielders,Malaysia,332.0
Penang FC,Syukur Saidin,8,24,Central Midfield,Midfielders,Malaysia,333.0
Penang FC,Syamer Kutty,14,18,Central Midfield,Midfielders,Malaysia,334.0
Penang FC,Shazalee Ramlee,15,21,Central Midfield,Midfielders,Malaysia,335.0
Penang FC,Nurfais Johari,37,16,Central Midfield,Midfielders,Malaysia,336.0
Penang FC,Sanna Nyassi,15,26,Right Midfield,Midfielders,The Gambia,250000.0
Penang FC,Rashid Aya,-,25,Right Midfield,Midfielders,Malaysia,338.0
Penang FC,Mark Hartmann,9,23,Attacking Midfield,Midfielders,Philippines,25000.0
Penang FC,Mohd Faiz Subri,13,28,Attacking Midfield,Midfielders,Malaysia,340.0
Penang FC,Faizat Ghazli,17,21,Attacking Midfield,Midfielders,Malaysia,341.0
Penang FC,Thivandaran Karnan,35,16,Left Winger,Midfielders,Malaysia,342.0
Penang FC,Nigel Dabinyaba,10,23,Right Winger,Midfielders,Papua New Guinea,343.0
Penang FC,S. Kumaahran,12,19,Right Winger,Midfielders,Malaysia,344.0
Penang FC,Thamil Arasu,-,24,Centre-Forward,Forwards,Malaysia,345.0
Penang FC,Failee Ghazli,-,28,Centre-Forward,Forwards,Malaysia,346.0
Penang FC,Jafri Firdaus Chew,-,18,Centre-Forward,Forwards,Malaysia,347.0
Penang FC,R. Surendran,23,33,Striker,Forwards,Malaysia,348.0
FELDA United FC,Kalamullah Al-Hafiz,1,20,Goalkeeper,Goalkeeper,Malaysia,349.0
FELDA United FC,Ilham Amirullah,24,21,Goalkeeper,Goalkeeper,Malaysia,350.0
FELDA United FC,Farizal Harun,30,29,Goalkeeper,Goalkeeper,Malaysia,351.0
FELDA United FC,Muhammad Ilham,-,23,Defender,Defenders,Malaysia,352.0
FELDA United FC,Dino Djulbic,2,32,Centre-Back,Defenders,Australia,250000.0
FELDA United FC,Mootaz Jounaidi,5,29,Centre-Back,Defenders,Lebanon,100000.0
FELDA United FC,Norfazly,3,34,Centre-Back,Defenders,Malaysia,355.0
FELDA United FC,Stuart Wark,16,26,Centre-Back,Defenders,Malaysia,356.0
FELDA United FC,Ali Imran Alimi,31,17,Centre-Back,Defenders,Malaysia,357.0
FELDA United FC,Ridhwan Abdul Aziz,-,20,Left-Back,Defenders,Malaysia,358.0
FELDA United FC,Farid Ramli,-,28,Left-Back,Defenders,Malaysia,359.0
FELDA United FC,Mohd Farid,2,28,Left-Back,Defenders,Malaysia,360.0
FELDA United FC,K. Prabakaran,15,24,Left-Back,Defenders,Malaysia,361.0
FELDA United FC,Mohd Aizulridzwan Razali,18,29,Left-Back,Defenders,Malaysia,362.0
FELDA United FC,Alif Yusof,28,24,Left-Back,Defenders,Malaysia,363.0
FELDA United FC,Wan Amirul Afiq,20,23,Right-Back,Defenders,Malaysia,364.0
FELDA United FC,Safwan Hashim,23,21,Right-Back,Defenders,Malaysia,365.0
FELDA United FC,Hasni Zaidi Jamian,26,25,Right-Back,Defenders,Malaysia,366.0
FELDA United FC,Shukor Adan,12,36,Defensive Midfield,Midfielders,Malaysia,75000.0
FELDA United FC,Khairul Ismail,7,34,Defensive Midfield,Midfielders,Malaysia,368.0
FELDA United FC,Curran Ferns,29,22,Defensive Midfield,Midfielders,Malaysia,369.0
FELDA United FC,Zah Rahan Krangar,10,30,Central Midfield,Midfielders,Liberia,370.0
FELDA United FC,Syahid Zaidon,21,25,Central Midfield,Midfielders,Malaysia,371.0
FELDA United FC,Azriddin Rosli,25,20,Central Midfield,Midfielders,Malaysia,372.0
FELDA United FC,Danial Amier,32,18,Central Midfield,Midfielders,Malaysia,373.0
FELDA United FC,Hadin Azman,27,21,Left Winger,Midfielders,Malaysia,374.0
FELDA United FC,Wan Zack Haikal,11,24,Right Winger,Midfielders,Malaysia,375.0
FELDA United FC,Ridzuan Abdunloh,-,21,Right Winger,Midfielders,Malaysia,376.0
FELDA United FC,Mohd Fazrul Hazli,19,26,Right Winger,Midfielders,Malaysia,377.0
FELDA United FC,Ifedayo Olusegun,14,24,Second Striker,Forwards,Nigeria,378.0
FELDA United FC,Lucas Cano,-,20,Centre-Forward,Forwards,Argentina,200000.0
FELDA United FC,Gastón Cellerino,23,29,Centre-Forward,Forwards,Argentina,100000.0
FELDA United FC,Thiago Fernandes,8,25,Centre-Forward,Forwards,Bahrain,381.0
FELDA United FC,Norshahrul Idlan,9,29,Centre-Forward,Forwards,Malaysia,382.0
FELDA United FC,Fakrul Aiman,17,26,Centre-Forward,Forwards,Malaysia,383.0
Perak FC,Azizon Abdul Kadir,-,35,Goalkeeper,Goalkeeper,Malaysia,384.0
Perak FC,Yuvaraj Rajendran,-,19,Goalkeeper,Goalkeeper,Malaysia,385.0
Perak FC,Syazani Puat,1,21,Goalkeeper,Goalkeeper,Malaysia,386.0
Perak FC,Khairul Amri,18,26,Goalkeeper,Goalkeeper,Malaysia,387.0
Perak FC,Hafizul Hakim,22,22,Goalkeeper,Goalkeeper,Malaysia,388.0
Perak FC,Shafiq Hashim,-,20,Defender,Defenders,Malaysia,389.0
Perak FC,Aidiel Shafiq,-,19,Defender,Defenders,Malaysia,390.0
Perak FC,Thiago Junio,26,31,Centre-Back,Defenders,Brazil,50000.0
Perak FC,Raffi Nagoorgani,-,23,Centre-Back,Defenders,Malaysia,392.0
Perak FC,Muhd Arif Ismail,2,29,Centre-Back,Defenders,Malaysia,393.0
Perak FC,Shahrul Saad,3,22,Centre-Back,Defenders,Malaysia,394.0
Perak FC,Shahrom Abdul Kalam,5,30,Centre-Back,Defenders,Malaysia,395.0
Perak FC,Shathiya Kandasamy,6,25,Centre-Back,Defenders,Malaysia,396.0
Perak FC,Wan Syukri Wan Ahmad,13,24,Centre-Back,Defenders,Malaysia,397.0
Perak FC,Idris Ahmad,15,25,Centre-Back,Defenders,Malaysia,398.0
Perak FC,Nazirul Naim,21,22,Left-Back,Defenders,Malaysia,399.0
Perak FC,Azrul Nizam,-,21,Left-Back,Defenders,Malaysia,400.0
Perak FC,Amirul Azhan,23,22,Right-Back,Defenders,Malaysia,401.0
Perak FC,Fikri Sudin,-,21,Midfielder,Midfielders,Malaysia,402.0
Perak FC,Kenny Pallraj,12,22,Defensive Midfield,Midfielders,Malaysia,403.0
Perak FC,Jasazrin Jamaludin,19,29,Defensive Midfield,Midfielders,Malaysia,404.0
Perak FC,Mohd Hafiz Kamal,27,28,Midfielder,Midfielders,Malaysia,405.0
Perak FC,Firdaus Saiyadi,-,19,Central Midfield,Midfielders,Malaysia,406.0
Perak FC,Hafiz Ramdan,-,22,Central Midfield,Midfielders,Malaysia,407.0
Perak FC,Nasir Basharudin,4,25,Central Midfield,Midfielders,Malaysia,408.0
Perak FC,Ridzuan Azly Hussham,-,23,Right Midfield,Midfielders,Malaysia,409.0
Perak FC,Ibrahim Aziz,16,22,Right Midfield,Midfielders,Malaysia,410.0
Perak FC,Faton Toski,-,28,Attacking Midfield,Midfielders,Kosovo,250000.0
Perak FC,Akhir Bahari,-,21,Attacking Midfield,Midfielders,Malaysia,412.0
Perak FC,Leandro dos Santos,25,29,Attacking Midfield,Midfielders,Brazil,413.0
Perak FC,Amirul Waie Yaacob,-,19,Left Winger,Midfielders,Malaysia,414.0
Perak FC,Nazrin Nawi,20,27,Left Winger,Midfielders,Malaysia,415.0
Perak FC,Amir Safuan Zubir,-,18,Right Winger,Midfielders,Malaysia,416.0
Perak FC,Khairil Anuar,7,20,Right Winger,Midfielders,Malaysia,417.0
Perak FC,Vladislav Mirchev,-,28,Centre-Forward,Forwards,Bulgaria,200000.0
Perak FC,Yashir Islame,-,24,Centre-Forward,Forwards,Palestine,419.0
Perak FC,Zaquan Adha,8,28,Centre-Forward,Forwards,Malaysia,420.0
Perak FC,Abdul Hadi Yahya,14,30,Centre-Forward,Forwards,Malaysia,421.0
Perak FC,Mohd Nizad Ayub,30,27,Centre-Forward,Forwards,Malaysia,422.0
Perak FC,Gilmar,51,27,Centre-Forward,Forwards,Brazil,423.0
Sarawak FA,Florian Rison,1,20,Goalkeeper,Goalkeeper,Malaysia,424.0
Sarawak FA,Zul Mohi,18,25,Goalkeeper,Goalkeeper,Malaysia,425.0
Sarawak FA,Aidil Mohamad,21,35,Goalkeeper,Goalkeeper,Malaysia,426.0
Sarawak FA,Shahril Sa'ari,25,25,Goalkeeper,Goalkeeper,Malaysia,427.0
Sarawak FA,Najmuddin Mat Noor,14,20,Defender,Defenders,Malaysia,428.0
Sarawak FA,Demerson,-,29,Centre-Back,Defenders,Brazil,200000.0
Sarawak FA,Ronny Harun,2,31,Centre-Back,Defenders,Malaysia,430.0
Sarawak FA,Hairol Mokhtar,17,31,Centre-Back,Defenders,Malaysia,431.0
Sarawak FA,Mohd Dzulfadli,24,24,Centre-Back,Defenders,Malaysia,432.0
Sarawak FA,Rodney Celvin,35,19,Centre-Back,Defenders,Malaysia,433.0
Sarawak FA,Tommy Mawat,-,20,Left-Back,Defenders,Malaysia,434.0
Sarawak FA,Izray Iffarul Roslan,6,23,Left-Back,Defenders,Malaysia,435.0
Sarawak FA,Ramesh,12,35,Left-Back,Defenders,Malaysia,436.0
Sarawak FA,Jimmy Raymond,32,19,Left-Back,Defenders,Malaysia,437.0
Sarawak FA,Dzulazlan Ibrahim,13,27,Right-Back,Defenders,Malaysia,438.0
Sarawak FA,Mazwandi,22,26,Right-Back,Defenders,Malaysia,439.0
Sarawak FA,Milos Raickovic,52,22,Central Midfield,Midfielders,Montenegro,200000.0
Sarawak FA,Adam Shreen,-,22,Central Midfield,Midfielders,Malaysia,441.0
Sarawak FA,Mohammad Shahrol,16,31,Central Midfield,Midfielders,Malaysia,442.0
Sarawak FA,Alif Hassan,26,21,Central Midfield,Midfielders,Malaysia,443.0
Sarawak FA,A. Kamaruddin,28,20,Central Midfield,Midfielders,Malaysia,444.0
Sarawak FA,Mark Hartmann,-,23,Attacking Midfield,Midfielders,Philippines,25000.0
Sarawak FA,Hafis Saperi,27,21,Attacking Midfield,Midfielders,Malaysia,446.0
Sarawak FA,Abdul Rahim,30,20,Attacking Midfield,Midfielders,Malaysia,447.0
Sarawak FA,Sahil Suhaimi,51,23,Attacking Midfield,Midfielders,Singapore,448.0
Sarawak FA,Hafiz,11,27,Left Winger,Midfielders,Malaysia,449.0
Sarawak FA,Shamie Iszuan,-,20,Right Winger,Midfielders,Malaysia,450.0
Sarawak FA,Dalglish,23,24,Right Winger,Midfielders,Malaysia,451.0
Sarawak FA,Mateo Roskam,9,28,Centre-Forward,Forwards,Croatia,100000.0
Sarawak FA,Jong-ho Lee,-,29,Centre-Forward,Forwards,"Korea, South",453.0
Sarawak FA,Alexander Jerome,29,22,Striker,Forwards,Malaysia,454.0
Sarawak FA,Nor Azizi Ramlee,34,19,Centre-Forward,Forwards,Malaysia,455.0
Sarawak FA,Abang Nur Afirman,36,17,Striker,Forwards,Malaysia,456.0
