Team,Player,Number,Age,Position,Group Position,Nationality,ValueEUR
Melaka United FC,Khairu Azrin,-,24,Central Midfield,Midfielders,Malaysia,66.0
Melaka United FC,Ezrie Shafizie Sazali,8,29,Central Midfield,Midfielders,Malaysia,67.0
Melaka United FC,Syed Sobri,-,21,Right Midfield,Midfielders,Malaysia,68.0
Melaka United FC,Farderin Kadir,-,28,Attacking Midfield,Midfielders,Malaysia,69.0
Melaka United FC,Sergio Aguero,-,21,Attacking Midfield,Midfielders,Malaysia,70.0
Melaka United FC,S. Sivanesan,6,25,Attacking Midfield,Midfielders,Malaysia,71.0
Melaka United FC,Surendran Ravindran,7,28,Attacking Midfield,Midfielders,Malaysia,72.0
Melaka United FC,Felipe Souza,10,24,Attacking Midfield,Midfielders,Brazil,73.0
Melaka United FC,Norhakim Isa,13,22,Attacking Midfield,Midfielders,Malaysia,74.0
Melaka United FC,Mohd Azinee,17,25,Attacking Midfield,Midfielders,Malaysia,75.0
Melaka United FC,Jasmir Mehat,23,21,Attacking Midfield,Midfielders,Malaysia,76.0
Melaka United FC,Sheang Tsung Tam,-,20,Left Winger,Midfielders,Malaysia,25000.0
Melaka United FC,Ahmad Fakri Saarani,-,26,Right Winger,Midfielders,Malaysia,78.0
Melaka United FC,Yugan Poobathy,-,18,Right Winger,Midfielders,Malaysia,79.0
Melaka United FC,Amri Yahyah,-,34,Second Striker,Forwards,Malaysia,80.0
Melaka United FC,Fauzi Roslan,24,27,Second Striker,Forwards,Malaysia,81.0
Melaka United FC,Egor Zubovich,-,26,Centre-Forward,Forwards,Belarus,300000.0
Melaka United FC,Marko Simic,-,27,Centre-Forward,Forwards,Croatia,75000.0
Melaka United FC,Ilija Spasojević,-,28,Centre-Forward,Forwards,Indonesia,84.0
Melaka United FC,Gopinathan,-,26,Striker,Forwards,Malaysia,85.0
Melaka United FC,Nurshamil Abd Ghani,-,21,Centre-Forward,Forwards,Malaysia,86.0
Melaka United FC,Izzaq Faris Ramlan,14,25,Centre-Forward,Forwards,Malaysia,87.0
Kedah Darul Aman FC,Farhan Abu Bakar,-,22,Goalkeeper,Goalkeeper,Malaysia,88.0
Kedah Darul Aman FC,Abdul Hadi Abdul Hamid,1,28,Goalkeeper,Goalkeeper,Malaysia,89.0
